itemID,Tongan Word,Dictionary Page,Number of Letters,Number of Phonemes,Number of Moras,Part of Speech,Meaning in English,Number of Participants,Reaction Time,Accuracy
2032,meʻa-fua-mofi,130,11,11,6,noun, (n) clinical thermometer,24,729,1.00
2033,meʻa-fuluipuʻanga,130,16,15,8,noun," (n) thing for washing dishes, kitchen sink",26,615,0.96
2034,meʻa-hae-kapa,130,11,11,6,noun," (n) tin-opener, can-opener",24,540,1.00
2035,meʻa-huhu,130,8,8,4,noun," (n) instrument for giving injections, hypodermic syringe",29,646,0.97
2036,meʻa-hulu,130,8,8,4,noun," (n) searchlight (the lamp, not the beam)",24,603,1.00
2037,meʻaifi,130,7,7,4,noun," (n) whistle, wind instrument (of any kind)",32,708,0.94
2038,meʻainu,130,7,7,4,noun," (n) drink, what one drinks, beverage of any kind",24,471,1.00
2039,meʻakai,130,7,7,4,noun, (n) food,24,526,0.96
2040,meʻa-kakau,130,9,9,5,noun," (n) lifebelt, lifevest or lifebuoy",26,558,1.00
2041,meʻa-kamosi,130,10,10,5,noun, (n) trigger; electric switch,24,623,1.00
2042,me‘a kovi,130,8,8,4,noun," (n) bad thing, bad stuff",29,651,0.97
2043,me‘alea,130,7,7,4,noun, (n) musical instrument (of any kind),24,463,0.96
2044,meʻa mālie,130,9,10,6,noun, (n) fortunate thing,32,612,1.00
2045,me‘a-ngaohi-me‘akai,130,17,16,9,noun, (n) cooking utensil(s),24,504,1.00
2046,me‘angāue,130,9,9,6,noun, (n) tool,24,516,1.00
2047,me‘a pango,130,9,8,4,noun," (n) unfortunate or regrettable thing, a pity",26,514,0.96
2048,me‘a-sivi,130,8,8,4,noun, (n) sieve or strainer of any kind,24,585,0.96
2049,me‘a-tā-fo‘imoa,130,13,14,8,noun, (n) egg beater,29,535,1.00
2050,me‘atau,131,7,7,4,noun," (n) weapon (of any kind), thing to fight with",24,576,1.00
2051,me‘a-to‘o,131,8,8,4,noun, (n) handle (of a door),31,571,0.94
2052,me‘atui,131,7,7,4,noun, (n) horn (of a cow or other animals),24,488,0.92
2053,me‘a-va‘inga,131,11,10,5,noun," (n) plaything, toy",23,518,1.00
2054,me‘a‘ofa,131,8,8,4,noun," (n) gift, present; gratuity, tip",26,570,0.96
2055,miau,131,4,4,3,verb," (v) (of cats) to mew, meow",29,510,0.97
2056,mihi,131,4,4,2,verb, (v) to sniff (as when one has a cold),24,562,1.00
2057,mihimihi,131,8,8,4,verb, (v) to sniffle,32,472,0.97
2058,mihi‘i,131,6,6,3,verb, (v) to sniff up,24,500,0.96
2059,mili,131,4,4,2,verb, (v) to rub with the hand (esp. the body or arm with oil),24,607,0.92
2060,milionea,131,8,8,5,noun, (n) millionaire,24,717,0.75
2061,milohi,131,6,6,3,verb," (v) to twist, to turn (screws, taps, etc.)",29,508,1.00
2062,minisitā,131,8,9,5,noun, (n) minister (usually refers to crown ministers),24,511,1.00
2063,miniti,131,6,6,3,noun, (n) minute,32,538,0.88
2064,mingi,131,5,4,2,verb," (v) to shrink, shrivel, or contract",24,568,0.92
2065,mingimingi,131,10,8,4,adjective/verb," (adj/v) crinkled, wrinkled, or curly",24,574,0.96
2066,mio‘i,131,5,5,3,verb, (v) to twist; to distort; to turn,26,463,0.96
2067,misi,131,4,4,2,noun, (n) dream,24,589,0.96
2068,misinale,131,8,8,4,noun, (n) annual church or missional offering; missionary,28,471,1.00
2069,mīsini,131,6,7,4,noun," (n) machine; mechanism; engine, motor (of any kind)",24,607,1.00
2070,mīsini kosi,131,10,11,6,noun, (n) clipping or mowing machine or apparatus (of any kind),32,522,1.00
2071,mīsini tuitui,131,12,13,8,noun, (n) sewing-machine,24,632,0.75
2072,misiteli,131,8,8,4,noun, (n) mystery,24,561,0.75
2073,mita,131,4,4,2,noun, (n) meter,26,590,0.73
2074,mo,131,2,2,1,conjunction, (conj) and,24,556,1.00
2075,moa,131,3,3,2,noun," (n) fowl, chicken",29,519,0.90
2076,moana,131,5,5,3,noun," (n) deep sea, sea beyond the reef",24,557,1.00
2077,mo e hā fua,131,8,9,6,expression," (exp) and so on, and other such things, and whatever else",32,648,0.94
2078,mofi,131,4,4,2,verb, (v) to be warm with fever; to be fervent,24,600,0.83
2079,mofuike,131,7,7,4,noun, (n) earthquake,24,529,0.83
2080,mohefisi,131,8,8,4,verb, (v) to roll or turn or toss about in one's sleep,24,578,1.00
2081,mohe-maʻu,131,8,8,4,adjective, (adj) sleeping deep,28,552,0.93
2082,mohenga,131,7,6,3,noun, (n) bed; nest (of domestic fowls),24,567,1.00
2083,moheʻanga,131,9,8,4,noun, (n) sleeping-place,31,491,1.00
2084,mohe ʻuli,131,8,8,4,verb, (v) to go to bed dirty or unwashed,24,612,0.92
2085,moho,131,4,4,2,adjective/verb," (adj/v) cooked; fully cooked, done; (of yams which have been dug) spoilt as if cooked by the suns’ heat",23,614,1.00
2086,moki,131,4,4,2,noun, (n) mug,24,516,1.00
2087,moko,131,4,4,2,noun, (n) lizard,29,513,1.00
2088,mokomoko,131,8,8,4,adjective/verb, (adj/v) cool,23,572,1.00
2089,mokopuna,131,8,8,4,noun, (n) grandchild,32,621,1.00
2090,mokosia,131,7,7,4,verb," (v) to be cold; to feel cold, to be affected by the cold",24,556,0.88
2091,mole,131,4,4,2,verb," (v) to be spent or used up; to be lost, to perish to go or come right over or right across; to extend (in space or time) right over, or right across; (of time) to elapse, pass; ",24,538,0.79
2092,molemole,132,8,8,4,adjective, (adj) smooth,26,506,0.96
2093,moli,132,4,4,2,noun, (n) orange or other citrus fruit (except lemon or lime),24,541,1.00
2094,Mōlisi,132,6,7,4,noun," (n) Morris, Hedstrom, Ltd.",29,551,1.00
2095,molū,132,4,5,3,adjective/verb," (adj/v) soft, tender, flexible, supple, slack or limp",24,689,1.00
2096,molumalu,132,8,8,4,adjective/verb," (adj/v) solemn, impressive, majestic, imposing, stately dignified, magnificent",32,600,0.91
2097,momeniti,132,8,8,4,noun," (n) moment, instant",23,549,0.87
2098,momo,132,4,4,2,noun," (n) little bit, crumb, fragment",24,472,1.00
2099,mōmoa,132,5,6,4,adjective/verb, (adj/v) dry,26,536,1.00
2100,momoho,132,6,6,3,adjective/verb, (adj/v) (of fruit) ripe; (of leaves) turned yellow,24,615,1.00
2101,momosi,132,6,6,3,verb, (v) to crumble; to break or grind or crush to powder or to very small pieces,29,496,1.00
2102,momoʻi,132,6,6,3,adjective/adverb," (adj/adv) very small piece or bit of, fragment of",24,616,1.00
2103,monimonū,132,8,9,5,adjective/verb, (adj/v) very fortunate or prosperous,32,491,1.00
2104,Mōnite,132,6,7,4,noun, (n) Monday,24,606,0.88
2105,mono,132,4,4,2,verb," (v) to insert, poke, stick in somewhere",24,577,0.96
2106,monomono,132,8,8,4,verb," (v) to mend, patch, or darn",26,515,1.00
2107,monū,132,4,5,3,noun," (n) good luck, good fortune, or privilege",24,765,1.00
2108,monū‘ia,132,7,8,5,adjective/verb," (adj/v) to be lucky, fortunate, or blest; to prosper, succeed",28,508,1.00
2109,monga,132,5,4,2,noun, (n) throat,24,582,0.92
2110,mongomonga,132,10,8,4,noun, (n) beetle (of any kind); cockroach,32,636,0.72
2111,mongumangu,132,10,8,4,noun, (n) scab,24,594,0.83
2112,mopi,132,4,4,2,noun, (n) mop (for the floor),24,552,0.88
2113,mosimosi,132,8,8,4,verb, (v) to rain lightly,26,563,0.88
2114,moto,132,4,4,2,noun, (n) flower-bud,24,557,0.96
2115,motololi,132,8,8,4,noun, (n) motor-lorry,24,689,0.92
2116,motopaiki,132,9,9,5,noun," (n) motor-cycle, motorbike",32,604,0.91
2117,motu,132,4,4,2,noun, (n) island,24,619,0.88
2118,motuhi,132,6,6,3,verb," (v) to break (a rope or a stick etc.); to break off, break away",24,605,0.92
2119,motumotu,132,8,8,4,adjective/verb, (adj/v) broken into several or many pieces,26,602,1.00
2120,motuʻa,132,6,6,3,noun," (n) old or elderly person, or elder; male person of any age; parent (esp. father); husband",24,510,1.00
2121,motuʻa-nima,132,10,10,5,noun, (n) thumb,29,545,0.93
2122,motuʻa-vaʻe,132,10,10,5,noun, (n) big toe,24,633,0.92
2123,mou,132,3,3,2,pronoun, (pron) you (plural),32,604,0.72
2124,movete,132,6,6,3,verb," (v) to come apart, come to pieces; to be scattered or dispersed; to fray out",24,464,0.96
2125,moʻo,132,4,4,2,preposition," (prep) for, intended for",24,565,0.96
2126,moʻoku,132,6,6,3,adverb," (adv) for me, for myself",26,535,0.92
2127,moʻoma,132,6,6,3,adverb, (adv) as our (dual),24,512,0.96
2128,moʻomau,132,7,7,4,adverb, (adv) as our (plural),29,559,0.97
2129,moʻomaua,132,8,8,5,adverb," (adv) for us, for ourselves (dual)",24,597,0.96
2130,moʻomautolu,132,11,11,6,adverb," (adv) for us, for ourselves (plural)",32,486,0.97
2131,moʻomo,132,6,6,3,adverb, (adv) as your (dual),24,559,1.00
2132,moʻomou,132,7,7,4,adverb, (adv) as your (plural),24,586,0.96
2133,moʻomoua,132,8,8,5,adverb," (adv) for you, for yourselves (dual)",26,514,0.92
2134,moʻomoutolu,132,11,11,6,adverb," (adv) for you, for yourselves (plural)",24,527,1.00
2135,moʻona,132,6,6,3,adverb, (adv) as their (dual),29,560,0.97
2136,moʻonau,133,7,7,4,adverb, (adv) as their (plural),24,799,0.96
2137,moʻonaua,133,8,8,5,adverb," (adv) for them, for themselves (dual)",31,541,1.00
2138,moʻonautolu,133,11,11,6,adverb," (adv) for them, for themselves (plural)",24,496,1.00
2139,moʻoni,133,6,6,3,adjective/verb," (adj/v) true; genuine, real, actual, intrinsic; right or correct; really good, expert",24,485,1.00
2140,moʻota,133,6,6,3,adverb," (adv) for one, for oneself; for me, for myself",26,604,0.81
2141,moʻotau,133,7,7,4,adverb, (adv) as our (plural),24,540,1.00
2142,moʻotaua,133,8,8,5,adverb," (adv) for us, for ourselves (dual)",29,537,0.97
2143,moʻotautolu,133,11,11,6,adverb," (adv) for us, for ourselves (plural)",24,677,1.00
2144,moʻou,133,5,5,3,adverb," (adv) for you (thee), for yourself (thyself)",32,494,1.00
2145,moʻua,133,5,5,3,adjective/verb," (adj/v) to be encumbered, to be busy or engaged; to be engaged, occupied; to be in debt; to be indebted; to be found or adjudged guilty, to be convicted",24,489,0.96
2146,moʻui,133,5,5,3,verb," (v) to live, to be living or alive; to be in health; to recover from a serious illness; (of light or fire) to be burning; (of clock, engine) to be going or working",24,674,0.88
2147,moʻumohea,133,9,9,5,verb," (v) to remain asleep for a long time, to oversleep or sleep in",25,468,0.96
2148,moʻunga,133,7,6,3,noun," (n) hill, mountain",24,551,1.00
2149,moʻunga-afi,133,10,9,5,noun, (n) volcano,29,539,1.00
2150,mū,133,2,3,2,noun, (n) moth,24,540,0.92
2151,muhu,133,4,4,2,verb," (v) to mumble, murmur, or mutter; drone, give forth a low subdued sound",32,674,0.97
2152,mui,133,3,3,2,adjective/verb," (adj/v) young immature, only partly grown or developed",24,658,0.96
2153,muiva‘e,133,7,7,4,noun, (n) heel,24,527,1.00
2154,mui‘ulu,133,7,7,4,noun," (n) back of the head, or the hair at the back of the head",26,663,0.81
2155,muka,133,4,4,2,noun," (n) leaf-bud, very young leaf",24,540,1.00
2156,musie,133,5,5,3,noun, (n) grass,24,661,0.71
2157,musika,133,6,6,3,noun, (n) music,32,538,0.97
2158,muʻa,133,4,4,2,noun," (n) front, space or place in front or further forward; earlier time or period; previously, before, earlier; time to come, time that lies ahead",24,531,1.00
2159,na,134,2,2,1,pronoun, (pron) they (dual),26,669,0.85
2160,nailoni,134,7,7,4,noun, (n) nylon,29,576,0.86
2161,namu,134,4,4,2,noun, (n) mosquito,24,627,0.88
2162,namua,134,5,5,3,adjective, (adj) infested with mosquitoes,32,533,1.00
2163,namukū,134,6,7,4,verb," (v) to smell bad, to stink",24,500,1.00
2164,namu-lelei,134,9,9,5,verb," (v) to smell nice, to smell good",24,512,1.00
2165,nāmu‘i,134,6,7,4,verb, (v) to smell; to taste,26,569,0.92
2166,nanamu,134,6,6,3,noun," (n) odour, smell",23,665,0.87
2167,natu,134,4,4,2,verb, (v) to knead; to mix by kneading; to massage with leaves,29,680,0.97
2168,natu fakataha,134,12,12,6,verb, (v) to mix together,24,693,0.96
2169,natula,134,6,6,3,noun, (n) nature,32,617,0.88
2170,nau,134,3,3,2,pronoun, (pron) they,24,615,0.75
2171,naua,134,4,4,3,noun, (n) very big wave,24,571,0.79
2172,nauna,134,5,5,3,noun, (n) noun,26,544,1.00
2173,nāunau,134,6,7,5,noun," (n) equipment, outfit, requisite tools or materials",24,539,1.00
2174,neave,134,5,5,3,noun, (n) nerve,32,551,0.97
2175,ni,134,2,2,1,adjective," (adj) this, these",24,564,1.00
2176,nifo,134,4,4,2,noun," (n) tooth, teeth, or something resembling teeth",29,555,0.93
2177,nimangeau,134,9,8,5,numeral, (num) five hundred (500),32,651,0.84
2178,nimangofulu,134,11,10,5,numeral, (num) fifty (50),24,838,0.79
2179,ninimo,134,6,6,3,verb," (v) to suffer from vertigo or giddiness, or dizziness",24,573,0.92
2180,niu,134,3,3,2,noun, (n) coconut,26,539,0.96
2181,niumōnia,134,8,9,6,noun, (n) pneumonia,24,566,1.00
2182,ni‘ihi,134,6,6,3,adjective/pronoun," (adj/pron) some, several, a number of, any, any of them",29,564,0.97
2183,nō,134,2,3,2,verb," (v) to borrow, or to hire",24,652,0.75
2184,noate-uesite,134,11,11,7,adjective/noun, (adj/n) north-west,24,680,0.96
2185,noate-‘isite,134,11,11,6,adjective/noun, (adj/n) north-east,26,521,0.96
2186,noa‘ia,134,6,6,4,adjective/adverb, (adj/adv) no particular kind,24,534,0.96
2187,nofo,134,4,4,2,verb," (v) to sit; to stay, dwell, live, reside",28,608,0.93
2188,nofo noa,134,7,7,4,verb," (v) to be idle, to be doing nothing",24,647,1.00
2189,nofo totongi,134,11,10,5,verb," (v) (of persons) to live and pay rent, or to pay for one's board; (of a house) to be rented by those who live in it",32,512,1.00
2190,nofo‘anga,134,9,8,4,noun," (n) dwelling place; place for sitting, seat",24,500,1.00
2191,noko,134,4,4,2,noun, (n) hip,26,605,1.00
2192,nono‘o,134,6,6,3,verb," (v) to tie, tie on, tie up, or lace up; to tether; to moor",23,719,1.00
2193,nonga,134,5,4,2,adjective/verb," (adj/v) (of the wind or sea) calm, still, tranquil; (of persons or the mind) calm, tranquil, peaceful, contented; (of pain) gone or almost so",29,503,1.00
2194,nōpele,134,6,7,4,noun, (n) noble,24,634,0.92
2195,nota,134,4,4,2,noun, (n) note,32,586,0.81
2196,nounou,134,6,6,4,adjective/verb, (adj/v) short,24,506,0.92
2197,Nōvema,134,6,7,4,noun, (n) November,24,553,1.00
2198,Nukuʻalofa,134,10,10,5,noun, (n) name of the capital of Tonga,26,649,0.77
2199,nusi,135,4,4,2,verb, (v) to rub (clothes) with hands (in washing them); to crush or crumple together in the hand; to crush and rub between the hands,23,586,0.78
2200,nusipepa,135,8,8,4,noun, (n) newspaper,29,560,1.00
2201,Nuʻu Sila,135,8,8,4,noun, (n) New Zealand,24,561,1.00
2202,ngaahi,135,6,5,3,plural marker, sign of plural,32,450,0.91
2203,ngaahi kava,135,10,9,5,verb," (v) to make or prepare kava for drinking, or to join with others in drinking kava",24,591,0.83
2204,ngahau,135,6,5,3,noun, (n) arrow,24,680,0.92
2205,ngaiʻi,135,6,5,3,verb, (v) to creak or squeak; to make a grating or grinding sound,26,516,1.00
2206,ngākau,135,6,6,4,noun," (n) bowels, intestines",24,680,1.00
2207,ngako,135,5,4,2,noun," (n) fat, dripping, grease; ointment",29,598,0.83
2208,ngala,135,5,4,2,verb," (v) to cry noisily or loudly, to howl",24,546,0.92
2209,ngali,135,5,4,2,verb," (v) to look or seem; to be seemly, suitable, or befitting",32,529,0.97
2210,ngalingali,135,10,8,4,verb," (v) to look as if, to look like, seem, or be likely",24,637,0.88
2211,ngalo,135,5,4,2,verb," (v) to sink; to submerge, to disappear or pass completely under the surface, to disappear from sight; to disappear from thought or memory to be forgotten",24,554,1.00
2212,ngalulu,135,7,6,3,verb, (v) to shake or quake,26,550,0.96
2213,ngalulululu,135,11,10,5,verb," (v) to keep on shaking, or to be shaky",24,650,1.00
2214,ngangana,135,8,6,3,verb, (v) to come or fall to pieces; to fall (fruit or leaves from a tree),29,613,0.86
2215,ngangau,135,7,5,3,verb, (v) (of the head) to ache,24,566,0.96
2216,ngaofe,135,6,5,3,adjective/verb," (adj/v) curved, bent in the form of a curve",24,562,0.96
2217,ngaohi,135,6,5,3,verb," (v) to make, construct, build, manufacture; to make or cause to be; to do, attend to, handle, treat, deal with, manipulate, manage, work; to mend, repair, to prepare, get ready; to touch or meddle with",26,531,0.96
2218,ngaohi‘anga,135,11,9,5,noun, (n) place where things are made,24,779,0.96
2219,ngaongao,135,8,6,4,adjective/verb, (adj/v) (of place or building) to have very few people in it;(of people) to be reduced to a very small number,28,475,0.93
2220,ngata,135,5,4,2,noun," (n) snake, serpent",24,548,0.92
2221,ngau,135,4,3,2,verb," (v) to gnaw, to chew",24,474,0.92
2222,ngāue,135,5,5,4,noun," (n) work; doing, action; (religious) service, public worship",24,658,0.79
2223,ngaue,135,5,4,3,verb," (v) to move, make a movement, or to budge",26,496,1.00
2224,ngāueʻaki,135,9,9,6,verb," (v) o use; to work at, to do as one's work",24,523,1.00
2225,ngāueʻanga,135,10,9,6,noun," (n) place of work, or sphere of work",29,531,1.00
2226,ngeau,135,5,4,3,numeral, (num) hundreds,32,553,0.88
2227,ngeli,135,5,4,2,noun, (n) monkey,24,461,1.00
2228,ngeʻesi,135,7,6,3,noun," (n) shell, husk, pod, or empty container",24,572,1.00
2229,ngeʻesi-nima,135,11,10,5,noun, (n) finger-nail; thimble,26,565,0.96
2230,nge‘esi-va‘e,136,11,10,5,noun, (n) toe-nail,24,540,1.00
2231,nge‘esi-‘ulu,136,11,10,5,noun, (n) one’s skull,29,676,0.90
2232,ngingila,136,8,6,3,verb," (v) to shine, be bright, glisten, or glitter",24,533,0.96
2233,ngofua,136,6,5,3,adjective/verb," (adj/v) allowed, permitted, permissible, not prohibited",32,586,0.94
2234,ngoto‘umu,136,9,8,4,noun," (n) native oven, hole in which food is cooked; crater",24,581,0.79
2235,ngoue,136,5,4,3,noun," (n) gardening, agriculture; garden",24,581,0.96
2236,ngoue‘anga,136,10,8,5,noun," (n) gardening land, gardening allotment, place where gardens are",26,549,0.92
2237,ngoue‘i,136,7,6,4,verb, (v) to cultivate (the soil); to use for gardening,24,643,1.00
2238,ngungulu,136,8,6,3,verb," (v) to growl, make a growling noise",29,568,0.93
2239,ngutu,136,5,4,2,noun, (n) mouth,24,513,0.88
2240,ō,136,1,2,2,verb," (v) to go; to go with, be accompanied by or combined with",32,726,0.75
2241,ofa,136,3,3,2,noun," (n) fathom, six feet",23,565,0.87
2242,ofi,136,3,3,2,adjective/verb, (adj/v) near,24,634,0.71
2243,ofo,136,3,3,2,verb," (v) to feel surprise, to be surprised, to get a surprise",26,587,0.73
2244,ohu,136,3,3,2,verb," (v) to dip up, ladle; to bale; to catch (little fish) by dipping them up in large numbers",29,644,0.90
2245,olo,136,3,3,2,verb, (v) to rub hard; to scrub,24,612,0.79
2246,oma,136,3,3,2,adjective/verb," (adj/v) very swift, swift and straight like the flight of a dart",24,594,0.88
2247,omi,136,3,3,2,verb," (v) to come, begin to come, come away",24,606,0.92
2248,onioni,136,6,6,4,noun, (n) onion,26,539,0.96
2249,onongeau,136,8,7,5,numeral, (num) six hundred (600),29,508,0.97
2250,onongofulu,136,10,9,5,numeral, (num) sixty (60),24,600,0.92
2251,onopooni,136,8,8,5,noun," (n) these days, these modern times",31,536,0.87
2252,ongo,136,4,3,2,numeral, (num) sign of dual number,24,492,1.00
2253,ongo-lelei,136,9,8,5,adjective/verb, (adj/v) to sound nice or pleasant; to feel nice or pleasant,24,549,0.96
2254,ongo-mālie,136,9,9,6,adjective/verb," (adj/v) to sound well; having a pleasing sound, melodious",26,495,0.92
2255,ongo meʻa,136,8,7,4,noun, (n) two persons,24,559,1.00
2256,ongo meʻa mali,136,12,11,6,noun," (n) married couple, bride and bridegroom",28,517,1.00
2257,ongoongo,136,8,6,4,noun," (n) news, report, or reputation",23,569,0.96
2258,ongoongoa,136,9,7,5,adjective/verb," (adj/v) famous, renowned",32,521,0.94
2259,ongosia,136,7,6,4,verb," (v) to be tired, exhausted, or weary",24,511,0.88
2260,ongoʻi,136,6,5,3,verb," (v) to hear; to perceive, feel; pleasure, taste, smell",26,555,0.92
2261,oʻi,136,3,3,2,verb," (v) to mash; to shape by force, to press or change into a new shape or pattern, to alter the shape or pattern or nature of; to try to persuade or compel to act differently, to urge, press",24,556,1.00
2262,pā,137,2,3,2,verb," (v) to burst, explode, blow up; (of plants) to burst or break through the soil; (of story, news) to be reported, to become known",28,631,0.96
2263,paame,137,5,5,3,noun, (n) palm (tree),24,561,0.88
2264,paasi,137,5,5,3,verb, (v) to pass (an examination or estimates),24,549,1.00
2265,paa‘i,137,5,5,3,verb, (v) to slap,26,481,0.92
2266,pāhia,137,5,6,4,verb," (v) to be utterly sick and tired of or fed up with, to be exasperated",24,631,1.00
2267,pailate,137,7,7,4,noun, (n) pilot,24,634,0.96
2268,painite,137,7,7,4,noun, (n) pint,24,541,0.92
2269,paipa,137,5,5,3,noun, (n) pipe; tube; tap,24,532,1.00
2270,paka,137,4,4,2,noun, (n) crab,26,596,1.00
2271,pakau or pakapakau,137,5,5,3,adjective/verb," (adj/v) thin, lean, slender, having comparatively little flesh",23,567,1.00
2272,paki,137,4,4,2,verb, (v) to break or break off with the hand; to pick or pluck,29,577,0.90
2273,pakihi,137,6,6,3,verb," (v) to click, or to make a crackling, braking or snapping noise, or a noise like two pieces of wood hitting together; (of the voice) to be sharp, metallic or falsetto",24,575,0.96
2274,paku,137,4,4,2,noun," (n) crust (bread, pie, etc.); crackling",32,594,0.97
2275,pakupaku,137,8,8,4,adjective/verb," (adj/v) quite dry, dry right through, or dry and hard",24,627,0.88
2276,palaea,137,6,6,4,noun, (n) pliers,25,558,1.00
2277,palakipoe,137,9,9,5,noun, (n) blackboard,29,520,1.00
2278,palakū,137,6,7,4,adjective/verb," (adj/v) disgusting (in appearance), repulsive-looking; repulsively dirty or ugly or immoral",24,685,1.00
2279,palāleli,137,8,9,5,adjective, (adj) parallel,32,511,0.97
2280,palani,137,6,6,3,noun, (n) plan,23,603,1.00
2281,palanisi,137,8,8,4,noun, (n) balance (esp. in book- keeping),24,575,0.79
2282,palanite,137,8,8,4,noun, (n) planet,26,618,1.00
2283,palasi,137,6,6,3,noun, (n) palace,24,590,0.92
2284,palasitā,137,8,9,5,noun, (n) plaster (for a wall); sticking-plaster,29,619,1.00
2285,Palataisi,137,9,9,5,noun, (n) Paradise,24,605,0.96
2286,palau,137,5,5,3,verb, (v) to plough; to grade (a road),32,556,0.75
2287,palesiteni,137,10,10,5,noun, (n) president,26,531,0.96
2288,palōfesa,137,8,9,5,noun, (n) professor,24,795,0.79
2289,palofisai,137,9,9,5,verb, (v) to prophesy,29,541,1.00
2290,palōfita,137,8,9,5,noun, (n) prophet,24,537,0.96
2291,palōmesi,137,8,9,5,noun, (n) promise,32,562,0.97
2292,palōmeta,137,8,9,5,noun, (n) barometer,24,599,0.83
2293,palopalema,137,10,10,5,verb, (v) problem,24,697,0.96
2294,palulali,137,8,8,4,adjective/verb, (adj/v) plural,24,574,0.96
2295,pā maka,137,6,7,4,noun," (n) wall of stone or rock, rock resembling a wall",29,578,0.90
2296,panefu,138,6,6,3,adjective/verb, (adj/v) greyish brown,32,474,0.91
2297,pāneli,138,6,7,4,noun, (n) panel; shutter (that pushes out),24,542,1.00
2298,pani,138,4,4,2,noun, (n) bun,24,628,1.00
2299,pangikē,138,7,7,4,noun, (n) bank,26,546,0.96
2300,papa,138,4,4,2,noun," (n) sawn timber, plank(s), board(s)",24,603,1.00
2301,papā,138,4,5,3,verb, (of wood) cracked along the grain,28,478,1.00
2302,papālangi or pālangi,138,9,9,5,adjective/noun," (adj/n) European, (person) belonging to any white-skinned race",24,611,0.88
2303,papani,138,6,6,3,verb, (v) to besmear roughly or here and there,32,647,0.75
2304,papitaiso,138,9,9,5,noun, (n) baptism,24,565,0.96
2305,pasā,138,4,5,3,noun," (n) bazaar, fair for sale of goods (often by schools or churches)",26,585,0.88
2306,pāsese,138,6,7,4,noun, (n) passenger; passage (on a ship),23,546,1.00
2307,pasi or pasipasi,138,4,4,2,verb," (v) to clap, to applaud by clapping",29,526,0.90
2308,Pasifiki,138,8,8,4,noun, (n) Pacific,24,576,0.92
2309,pasiketipolo,138,12,12,6,noun/verb, (n/v) basket-ball,24,535,0.88
2310,pāsipooti,138,9,10,6,noun, (n) passport,24,522,0.96
2311,pata,138,4,4,2,noun, (n) plantain with soft mealy sub-acid flesh,26,561,0.96
2312,pātele,138,6,7,4,noun, (n) Catholic priest,24,642,0.83
2313,patepate,138,8,8,4,noun, (n) scar,29,603,0.83
2314,pateta,138,6,6,3,noun, (n) potato,24,656,0.79
2315,pato,138,4,4,2,noun, (n) duck,32,585,0.84
2316,pau,138,3,3,2,adjective/verb," (adj/v) without doubt or uncertainty; certain, definite; settled, determined, decided; (of the mind) made up; necessary, inevitable",24,576,1.00
2317,pāuni,138,5,6,4,noun, (n) pound (weight),24,609,0.75
2318,pauta,138,5,5,3,noun," (n) face powder, or baking powder",26,509,1.00
2319,pau‘u,138,5,5,3,adjective/verb," (adj/v) ill-mannered, naughty, mischievous; to do mischievous or naughty things",24,581,1.00
2320,pa‘ake,138,6,6,3,noun, (n) park,29,452,1.00
2321,paʻanga,138,7,6,3,noun," (n) coin, money; fund",24,552,1.00
2322,pe,138,2,2,1,conjunction," (conj) or, whether, or merely introducing an indirect question",24,561,0.88
2323,pea,138,3,3,2,noun, (n) bear (animal); pear (fruit),24,588,0.96
2324,pea mo,138,5,5,3,conjunction," (conj) and, and also",26,617,0.81
2325,pea' u,138,5,5,3,conjunction, (conj) and I (with verb following),24,694,0.83
2326,peau,138,4,4,3,noun," (n) wave, billow",29,525,0.97
2327,peesi,138,5,5,3,noun, (n) page (of a book),24,542,0.96
2328,peito,138,5,5,3,noun, (n) kitchen,24,514,0.92
2329,peka,138,4,4,2,noun," (n) bat, flying fox",24,539,0.96
2330,pēkani,138,6,7,4,noun, (n) bacon,26,548,0.92
2331,pekenene,138,8,8,4,noun, (n) pistol,29,563,0.93
2332,pekepeka,138,8,8,4,noun, (n) swallow (bird),24,521,0.96
2333,peku,138,4,4,2,adjective/verb, (adj/v) blunt,24,529,1.00
2334,pele,138,4,4,2,adjective/verb," (adj/v) specially beloved or favoured; petted, made a pet of; favourite",23,618,0.87
2335,pelepela,139,8,8,4,noun," (n) mud, mire, or muddy pool",26,519,0.81
2336,peleti,139,6,6,3,noun," (n) plate; plaque, memorial tablet",24,628,0.92
2337,pelu,139,4,4,2,verb," (v) to fold, bend or flex; to reef (a sail); to hem",29,567,0.93
2338,peni,139,4,4,2,noun," (n) penny (coin); pen, pencil (writing instrument)",24,575,1.00
2339,penisini,139,8,8,4,noun," (n) benzine, petrol, gasoline, or naphtha",32,640,0.91
2340,penisiō,139,7,8,5,noun, (n) banjo,24,633,0.96
2341,Penitekosi,139,10,10,5,noun, (n) Pentecost,24,629,0.83
2342,pepa or pepa kai,139,4,4,2,noun, (n) pepper,26,520,1.00
2343,pepa ako,139,7,7,4,noun," (n) school paper, exercise book",24,630,1.00
2344,pepa fai-tohi,139,11,11,6,noun, (n) writing pad,29,538,1.00
2345,pepa fale-mālōlō,139,14,17,10,noun, (n) toilet paper,24,611,1.00
2346,pepa fefeka,139,10,10,5,noun, (n) cardboard,32,521,0.94
2347,pepa kofukofu,139,12,12,6,noun, (n) wrapping paper,24,604,0.96
